ST_CASE,STATE,PEDS,COUNTY,MONTH,YEAR,DAY_WEEK,HOUR,ROAD_FNC,HARM_EV,WRK_ZONE,WEATHER,FATALS,DRUNK_DR,RESPONSE_TIME,HOSP_ARR_TIME,person_count,SPEEDREL,L_STATUS
10001,1,0,81,1,2010,6,4,11,42,0,1,1,1,,,2,,
10002,1,0,35,1,2010,2,6,16,30,0,1,1,0,,,1,,
10003,1,0,97,1,2010,5,15,12,12,0,1,1,0,,,3,1.0,
10004,1,0,115,1,2010,5,1,14,12,0,2,1,0,,,2,,
10005,1,0,117,1,2010,2,6,11,12,1,1,1,0,,,2,,
10006,1,0,21,1,2010,6,5,1,32,0,2,1,0,,,1,,
10007,1,0,97,1,2010,6,2,4,53,0,2,2,0,,,2,,
10008,1,0,9,1,2010,7,15,3,31,0,1,1,0,,,4,,
10009,1,0,51,1,2010,7,9,4,1,0,1,1,0,,,2,1.0,
10010,1,0,113,1,2010,1,13,4,12,0,1,1,1,,,4,,1.0
10011,1,0,95,1,2010,2,5,4,17,0,1,1,0,,,1,1.0,
10012,1,0,91,1,2010,2,16,5,42,0,1,1,1,,,3,1.0,
10013,1,0,125,1,2010,3,23,5,42,0,1,1,1,,,3,,
10014,1,0,9,1,2010,4,17,3,12,0,1,1,0,,,2,,1.0
10015,1,0,47,1,2010,4,15,4,34,0,1,1,0,,,1,,
10016,1,0,127,1,2010,5,9,4,12,0,1,1,0,,,2,,
10017,1,0,19,1,2010,5,15,3,1,0,4,1,0,,,4,1.0,1.0
10018,1,0,99,1,2010,5,13,2,12,0,2,2,0,,,3,,
10019,1,0,101,1,2010,1,4,3,53,0,1,1,1,,,2,,
10020,1,0,43,1,2010,5,16,2,12,0,4,1,0,,,3,1.0,
10021,1,0,95,1,2010,5,16,3,12,0,1,1,0,,,3,1.0,
10022,1,1,55,1,2010,2,6,2,8,0,1,1,0,,,2,,
10023,1,0,103,1,2010,2,13,2,12,0,1,1,0,,,2,,
10024,1,1,49,1,2010,3,15,4,8,0,1,1,0,,,3,,1.0
10025,1,0,97,1,2010,4,3,6,42,0,1,1,0,,,1,,
10026,1,0,101,1,2010,5,0,2,34,0,1,1,0,,,1,,
10027,1,0,109,1,2010,7,5,3,42,0,2,1,0,,,1,1.0,1.0
10028,1,0,43,1,2010,6,14,6,12,0,1,1,0,,,5,1.0,
10029,1,0,43,1,2010,1,21,6,42,0,5,2,0,,,2,1.0,
10030,1,0,85,1,2010,2,17,5,1,0,1,1,1,,,8,1.0,1.0
10031,1,0,127,1,2010,5,22,6,1,0,1,1,1,,,1,,
10032,1,0,115,1,2010,6,5,4,42,0,1,1,0,,,1,,
10033,1,0,53,1,2010,7,15,3,34,0,1,1,0,,,2,1.0,
10034,1,0,29,1,2010,5,12,1,12,0,1,1,0,,,2,,
10035,1,0,73,1,2010,7,15,11,39,0,2,1,0,,,1,1.0,1.0
10036,1,1,131,1,2010,3,5,3,12,0,1,1,0,,,4,,
10037,1,0,95,1,2010,1,21,5,32,0,1,1,1,,,2,1.0,
10038,1,0,35,1,2010,5,12,2,12,0,1,1,0,,,3,,
10039,1,0,81,1,2010,6,21,4,53,0,1,1,1,,,1,,
10040,1,0,113,1,2010,7,13,2,12,0,2,1,0,,,2,,
10041,1,0,97,1,2010,1,1,14,42,0,1,1,1,,,4,,1.0
10042,1,0,127,1,2010,2,14,3,12,0,1,3,0,,,3,,1.0
10043,1,0,105,1,2010,4,18,2,12,0,2,1,1,,,3,,
10044,1,0,97,1,2010,7,17,14,32,0,1,1,1,,,3,1.0,1.0
10045,1,0,51,1,2010,1,5,2,30,0,1,1,1,,,1,1.0,1.0
10046,1,0,123,1,2010,1,17,4,42,0,2,1,1,,,1,1.0,
10047,1,0,89,1,2010,2,7,4,12,0,1,1,0,,,3,2.0,
10048,1,0,27,1,2010,5,10,4,42,0,1,1,0,,,1,,
10049,1,0,83,1,2010,5,7,2,12,0,1,1,0,,,2,,1.0
10050,1,0,77,1,2010,6,11,12,12,0,3,3,0,,,5,,
10051,1,0,71,1,2010,6,11,14,12,0,3,1,0,,,4,1.0,1.0
10052,1,0,15,1,2010,7,2,4,35,0,2,1,1,,,1,1.0,
