ST_CASE,STATE,COUNTY,MONTH,YEAR,DAY_WEEK,HOUR,ROAD_FNC,HARM_EV,WRK_ZONE,WEATHER,FATALS,DRUNK_DR,RESPONSE_TIME,HOSP_ARR_TIME,person_count,SPEEDREL,L_STATUS
10001,1,5,1,2011,3,16,2,34,0,1,1,1,,,1,,
10002,1,73,1,2011,3,23,16,35,0,1,1,0,,,1,,
10003,1,97,1,2011,4,9,15,12,0,2,2,1,,,5,1.0,1.0
10005,1,15,1,2011,7,15,14,34,0,1,1,0,,,1,,1.0
10006,1,71,1,2011,7,6,2,34,0,1,1,0,,,2,,
10007,1,101,1,2011,3,18,12,30,0,1,1,0,,,3,,
10008,1,9,1,2011,5,4,5,42,0,1,2,0,,,2,,1.0
10009,1,97,1,2011,6,14,12,8,0,1,1,0,,,4,,
10010,1,71,1,2011,7,2,5,42,0,1,1,1,,,1,1.0,
10011,1,127,1,2011,7,6,2,12,0,2,1,0,,,2,,1.0
10012,1,83,1,2011,7,18,15,8,0,1,1,0,,,3,,
10013,1,89,1,2011,1,16,16,42,0,1,1,0,,,1,,
10014,1,79,1,2011,1,0,4,8,0,1,1,0,,,2,,
10015,1,7,1,2011,2,7,4,42,0,1,1,0,,,1,,
10016,1,89,1,2011,2,10,14,12,0,1,1,0,,,3,,
10017,1,45,1,2011,3,17,2,8,0,1,1,0,,,2,,
10018,1,115,1,2011,6,3,1,34,0,1,1,1,,,2,1.0,1.0
10019,1,77,1,2011,1,6,5,34,0,1,1,0,,,1,1.0,1.0
10020,1,85,1,2011,1,20,5,42,0,3,1,0,,,1,1.0,
10021,1,127,1,2011,3,13,3,34,0,2,1,0,,,2,1.0,
10022,1,113,1,2011,5,15,15,12,0,1,1,0,,,3,,
10023,1,65,1,2011,5,21,4,1,0,1,1,1,,,1,,
10024,1,129,1,2011,6,11,4,42,0,1,1,0,,,1,,
10025,1,123,1,2011,6,8,3,1,0,1,1,0,,,1,1.0,
10026,1,55,1,2011,7,13,15,42,0,10,1,1,,,1,1.0,1.0
10027,1,101,1,2011,7,8,11,12,0,1,1,0,,,3,1.0,
10028,1,77,1,2011,7,15,2,12,0,1,1,1,,,5,,1.0
10029,1,97,1,2011,7,18,14,12,0,1,1,0,,,5,,1.0
10030,1,97,1,2011,7,17,15,12,0,1,2,0,,,7,,
10031,1,97,1,2011,1,7,5,1,0,1,1,0,,,1,1.0,
10032,1,103,1,2011,1,22,6,42,0,1,1,0,,,1,1.0,1.0
10033,1,15,1,2011,2,22,6,42,0,1,1,0,,,1,1.0,
10034,1,51,1,2011,3,16,3,32,0,1,1,1,,,1,1.0,1.0
10035,1,81,1,2011,6,16,11,12,0,1,3,0,,,6,1.0,
10036,1,125,1,2011,6,11,5,12,0,1,1,0,,,2,,
10037,1,61,1,2011,6,22,3,34,0,1,1,1,,,1,,
10038,1,1,1,2011,7,0,12,12,0,1,1,1,,,3,,1.0
10039,1,61,1,2011,4,8,4,32,0,1,1,0,,,2,1.0,
10040,1,43,1,2011,4,22,2,12,0,1,1,0,,,4,,
10041,1,71,1,2011,6,3,2,8,0,1,1,1,,,2,,
10042,1,59,1,2011,6,21,2,12,0,1,1,1,30.0,,4,,1.0
10043,1,89,1,2011,1,17,15,8,0,1,1,0,,,2,,
10044,1,47,2,2011,3,7,2,12,0,1,1,0,2.0,25.0,2,,
10045,1,97,2,2011,4,19,12,8,0,10,1,2,2.0,,4,,
10046,1,73,2,2011,5,23,11,59,0,2,1,1,,,3,,1.0
10047,1,95,2,2011,3,11,3,8,0,2,1,0,,,2,,
10048,1,41,2,2011,7,0,4,35,0,2,1,1,23.0,19.0,1,1.0,
10049,1,73,1,2011,3,0,11,30,0,1,1,0,,,1,,
10050,1,73,1,2011,4,17,16,19,0,1,1,0,,,1,,
10051,1,73,2,2011,5,13,14,12,0,1,1,0,,,2,,2.0
10052,1,117,2,2011,4,17,14,12,0,1,1,0,21.0,24.0,3,,
10053,1,131,2,2011,5,19,3,42,0,1,1,1,,,1,1.0,
10054,1,115,2,2011,5,14,2,12,0,3,2,0,0.0,63.0,5,1.0,
10055,1,73,2,2011,5,19,11,24,0,3,1,0,,,1,1.0,
10056,1,77,2,2011,6,9,4,12,0,3,2,1,,,3,,1.0
10057,1,119,2,2011,6,2,1,42,0,3,1,0,15.0,32.0,4,1.0,
10058,1,79,2,2011,7,2,6,1,0,2,1,1,,,3,1.0,
10059,1,37,2,2011,1,15,3,12,0,1,1,0,26.0,121.0,4,,
10060,1,3,2,2011,1,4,2,12,0,1,1,0,5.0,27.0,4,,
10061,1,85,2,2011,2,2,4,42,0,1,1,1,14.0,,1,1.0,
10062,1,5,2,2011,3,6,4,12,0,1,2,0,20.0,,3,2.0,
10063,1,97,2,2011,5,19,14,42,0,1,1,1,21.0,,1,,
10064,1,3,2,2011,5,17,6,12,0,1,1,0,25.0,42.0,2,,
10065,1,115,2,2011,5,6,4,12,0,4,1,0,0.0,31.0,6,1.0,1.0
10066,1,83,2,2011,6,1,12,42,0,1,1,1,,,1,1.0,
10067,1,67,2,2011,6,14,6,42,0,1,1,0,,,3,1.0,
10068,1,71,2,2011,6,21,6,42,0,1,1,1,,,1,,
10069,1,71,2,2011,6,9,3,53,0,1,1,0,27.0,28.0,2,1.0,1.0
10070,1,81,2,2011,6,19,4,32,0,1,1,1,,,1,1.0,
10071,1,89,2,2011,6,18,15,12,0,1,1,0,15.0,26.0,4,1.0,
10072,1,119,2,2011,7,3,4,42,0,1,2,1,,,2,1.0,
10073,1,57,2,2011,1,19,2,12,0,1,2,0,23.0,,3,,
10074,1,35,2,2011,2,7,4,12,1,1,1,0,17.0,71.0,5,1.0,
10075,1,133,2,2011,3,12,2,1,0,1,1,1,13.0,,1,1.0,1.0
