ST_CASE,STATE,COUNTY,MONTH,YEAR,DAY_WEEK,HOUR,ROAD_FNC,HARM_EV,WRK_ZONE,WEATHER,FATALS,DRUNK_DR,RESPONSE_TIME,HOSP_ARR_TIME,Unnamed: 53,person_count,SPEEDREL,L_STATUS
10001,1,71,1,2014,4,1,5,17,0,1,1,1,,,,2,1.0,1.0
10002,1,59,1,2014,4,13,6,42,0,1,1,1,,,,1,,1.0
10003,1,125,1,2014,4,3,13,12,0,1,2,0,,,,7,,2.0
10004,1,121,1,2014,5,9,13,12,0,2,1,0,,,,5,,
10005,1,43,1,2014,5,16,5,35,0,1,1,0,,,,1,,
10006,1,35,1,2014,6,2,4,32,0,1,1,0,,,,1,,
10007,1,97,1,2014,6,18,16,12,0,10,1,1,,,,2,2.0,1.0
10008,1,13,1,2014,7,6,1,12,0,1,1,0,,,,4,,
10009,1,127,1,2014,7,15,2,24,0,1,1,0,,,,5,,1.0
10010,1,101,1,2014,2,17,14,12,0,1,2,0,,,,6,,1.0
10011,1,83,1,2014,4,8,3,34,0,10,1,0,,,,1,1.0,
10012,1,97,1,2014,4,12,13,14,0,1,1,1,,,,2,,
10013,1,53,1,2014,4,15,3,38,0,1,1,1,,,,1,1.0,1.0
10014,1,43,1,2014,5,6,4,42,0,1,1,1,,,,1,,
10015,1,15,1,2014,4,21,99,12,0,1,2,0,,,,3,,1.0
10016,1,7,1,2014,6,16,4,35,0,10,1,0,,,,7,,1.0
10017,1,43,1,2014,6,17,3,12,0,10,1,0,,,,3,,
10018,1,67,1,2014,6,18,4,1,0,2,1,0,,,,1,1.0,
10019,1,97,1,2014,6,21,4,38,0,2,1,0,,,,1,1.0,
10020,1,89,1,2014,7,3,11,30,0,2,1,1,,,,2,,1.0
10021,1,81,1,2014,7,20,14,8,0,1,1,0,,,,3,,
10022,1,45,1,2014,5,13,4,42,0,2,1,0,,,,1,1.0,
10023,1,49,1,2014,6,13,3,12,0,1,1,0,,,,3,1.0,
10024,1,131,1,2014,3,18,3,12,0,1,1,1,,,,2,,
10025,1,59,1,2014,4,17,13,12,0,1,1,0,,,,4,,
10026,1,81,1,2014,5,10,11,57,0,10,1,0,,,,1,,
10027,1,125,1,2014,5,18,2,12,0,10,1,1,,,,4,,
10028,1,39,1,2014,6,7,6,35,0,5,1,0,,,,1,1.0,
10029,1,73,1,2014,7,2,14,12,0,2,1,0,,,,11,,1.0
10030,1,89,1,2014,2,13,3,1,0,2,1,1,,,,1,1.0,1.0
10031,1,39,1,2014,3,10,2,12,0,1,1,0,,,,2,,
10032,1,5,1,2014,4,2,14,42,0,1,1,1,,,,1,,1.0
10033,1,125,1,2014,4,22,6,12,0,1,1,0,,,,4,,
10034,1,113,1,2014,6,19,4,35,0,1,1,1,,,,1,,
10035,1,111,1,2014,7,14,3,12,0,1,1,0,,,,4,,
10036,1,3,1,2014,7,22,4,59,0,1,1,1,,,,2,1.0,
10037,1,73,1,2014,1,11,11,12,0,1,1,0,,,,3,,1.0
10038,1,49,1,2014,2,0,1,42,0,1,1,0,,,,1,,1.0
10039,1,85,1,2014,2,16,4,12,0,1,1,0,,,,4,1.0,
10040,1,89,1,2014,7,9,13,30,0,1,1,0,,,,2,,
10041,1,93,1,2014,1,19,1,8,0,1,1,0,,,,2,,
10042,1,51,1,2014,3,7,3,23,0,3,2,0,,,,9,1.0,
10043,1,125,1,2014,3,11,6,10,0,4,3,0,,,,5,1.0,1.0
10044,1,89,1,2014,4,11,2,12,0,1,1,0,,,,2,1.0,
10045,1,49,1,2014,5,7,6,42,0,1,1,1,,,,1,1.0,
10046,1,43,1,2014,5,10,2,12,0,1,1,0,,,,3,,
10047,1,21,1,2014,5,5,2,1,0,10,1,0,,,,1,1.0,
10048,1,21,1,2014,5,13,3,12,0,1,1,0,,,,3,1.0,
10049,1,11,1,2014,5,17,4,42,0,10,1,1,,,,1,1.0,
10050,1,81,1,2014,5,21,6,42,0,1,1,1,,,,1,1.0,
10051,1,79,1,2014,6,7,2,12,0,1,2,0,,,,3,,
10052,1,5,1,2014,5,23,14,42,0,2,1,0,,,,1,1.0,
10053,1,89,1,2014,3,6,14,12,0,10,1,0,,,,2,,
10054,1,117,1,2014,5,12,14,32,0,1,1,0,,,,1,,
10055,1,3,1,2014,6,14,6,9,0,1,1,1,,,,3,,
10056,1,63,1,2014,6,15,4,2,0,1,1,0,,,,1,,1.0
10057,1,13,1,2014,1,4,1,42,0,10,1,0,,,,5,,
10058,1,73,1,2014,2,13,11,12,0,1,1,0,,,,6,,
10059,1,105,1,2014,3,11,2,12,0,4,1,0,,,,2,1.0,
10060,1,125,1,2014,6,16,16,1,0,1,1,0,,,,1,,1.0
10061,1,97,1,2014,7,18,14,8,0,1,1,0,,,,7,,
10062,1,31,2,2014,7,13,4,53,0,1,1,0,,,,1,,
10063,1,31,2,2014,7,0,3,34,0,1,1,0,,,,1,1.0,1.0
10064,1,1,2,2014,7,7,1,1,0,10,1,0,,,,1,,1.0
10065,1,113,2,2014,7,23,3,12,0,5,1,1,,,,2,,1.0
10066,1,91,2,2014,2,15,5,43,0,1,1,1,,,,1,,1.0
10067,1,57,2,2014,1,20,3,12,0,2,3,1,,,,4,,
10068,1,89,2,2014,2,15,3,12,0,1,1,0,,,,2,,
10069,1,71,2,2014,2,10,4,12,0,10,1,0,,,,2,1.0,
10070,1,19,2,2014,3,12,3,12,0,10,2,0,,,,4,1.0,
10071,1,97,2,2014,3,13,1,8,0,10,1,0,,,,2,,
10072,1,117,2,2014,3,18,14,8,0,10,1,0,,,,3,,
10073,1,123,2,2014,3,8,3,12,0,10,1,0,,,,2,,1.0
10074,1,125,2,2014,4,0,11,8,0,10,1,0,,,,2,,
10075,1,89,2,2014,4,22,13,12,0,8,1,0,,,,2,1.0,
10076,1,101,2,2014,4,8,16,33,0,10,1,1,,,,1,,1.0
10077,1,1,2,2014,7,4,1,34,0,1,1,1,,,,1,,1.0
10078,1,113,2,2014,7,15,6,1,0,1,1,1,,,,1,,
10079,1,3,2,2014,7,18,6,12,1,1,1,1,,,,2,,
10080,1,79,2,2014,1,17,2,24,0,1,1,1,,,,1,,1.0
10081,1,1,2,2014,1,23,1,12,0,1,2,0,,,,5,,1.0
10082,1,21,2,2014,5,17,1,8,0,1,1,0,,,,2,,
10083,1,125,2,2014,5,18,3,12,0,10,1,0,,,,2,1.0,
10084,1,103,2,2014,5,21,6,1,0,1,1,1,,,,3,1.0,1.0
10085,1,117,2,2014,7,7,4,42,0,1,1,1,,,,1,1.0,1.0
10086,1,43,2,2014,2,18,6,42,0,2,1,1,,,,1,1.0,
10087,1,73,2,2014,3,11,11,8,0,1,1,0,,,,3,,
10088,1,101,2,2014,4,20,14,32,0,10,1,1,,,,1,,
10089,1,97,2,2014,6,3,13,12,0,2,1,1,,,,2,,
10090,1,97,2,2014,7,16,13,12,0,1,1,0,,,,3,,
10091,1,111,2,2014,4,7,2,12,0,10,1,0,,,,5,,
10092,1,113,2,2014,3,20,13,8,0,2,1,0,,,,6,,
10093,1,15,2,2014,1,8,14,32,0,1,1,1,,,,1,,1.0
10094,1,97,2,2014,1,3,11,30,0,2,1,1,,,,1,1.0,1.0
10095,1,73,1,2014,6,18,13,12,0,10,1,0,,,,3,,
10096,1,81,2,2014,7,19,2,8,0,1,1,0,,,,4,,
10097,1,47,2,2014,5,21,4,1,0,1,1,1,,,,1,1.0,1.0
10098,1,97,2,2014,7,23,2,12,0,1,3,1,,,,6,,
10099,1,101,2,2014,2,21,13,34,0,1,1,0,,,,4,1.0,
10100,1,101,2,2014,2,17,14,8,0,10,1,0,,,,2,,
10101,1,81,2,2014,5,13,4,14,0,10,1,0,,,,1,,
10102,1,97,2,2014,6,18,2,12,0,1,1,1,,,,8,1.0,1.0
10103,1,47,2,2014,6,22,2,12,0,1,1,1,,,,5,,1.0
10104,1,81,2,2014,7,7,4,17,0,1,1,0,,,,1,,
10105,1,101,2,2014,1,12,11,34,0,10,2,0,,,,5,,
10106,1,43,2,2014,1,21,2,42,0,1,1,0,,,,1,1.0,
10107,1,39,2,2014,1,22,4,34,0,2,3,1,,,,5,1.0,
10108,1,89,2,2014,3,4,13,12,0,2,2,1,,,,3,,
10109,1,121,2,2014,3,6,6,1,0,1,1,0,,,,1,1.0,
10110,1,73,2,2014,6,23,16,10,0,1,1,1,,,,1,,1.0
10111,1,125,2,2014,1,16,4,12,0,1,1,0,,,,2,,
10112,1,31,2,2014,2,12,4,1,0,1,1,0,,,,1,,
10113,1,37,2,2014,6,11,6,10,0,1,1,1,,,,1,,
10114,1,49,2,2014,4,20,4,32,0,1,1,1,,,,3,1.0,1.0
10115,1,53,2,2014,6,7,3,52,0,1,1,0,,,,1,1.0,
10116,1,85,3,2014,7,6,4,35,0,1,1,1,,,,1,1.0,1.0
10117,1,29,3,2014,3,11,2,30,0,10,1,0,,,,1,1.0,
10118,1,97,3,2014,1,0,14,39,0,10,1,0,,,,6,1.0,
10119,1,95,3,2014,2,12,3,24,0,10,1,0,,,,3,,
10120,1,55,3,2014,2,18,5,53,0,10,1,1,,,,2,1.0,1.0
10121,1,97,3,2014,3,22,11,24,0,10,1,1,,,,1,,
10122,1,73,3,2014,3,12,14,8,0,1,1,0,,,,2,,
10123,1,87,3,2014,4,9,1,12,0,1,1,0,,,,2,,
10124,1,1,3,2014,4,19,3,8,0,10,1,0,,,,2,,
10125,1,79,3,2014,7,20,5,32,0,1,1,0,,,,1,,1.0
10126,1,91,3,2014,7,16,2,34,0,1,1,1,,,,1,1.0,1.0
10127,1,25,3,2014,2,22,5,10,0,1,1,0,,,,1,,
10128,1,125,3,2014,3,10,11,35,0,1,1,0,,,,1,,
10129,1,49,2,2014,4,19,3,12,0,1,2,0,,,,4,,
10130,1,91,3,2014,2,21,16,58,0,10,1,0,,,,1,,1.0
10131,1,45,3,2014,2,21,9,12,0,1,1,1,,,,3,,
10132,1,97,3,2014,7,23,11,12,0,2,1,1,,,,4,1.0,2.0
10133,1,71,3,2014,7,4,6,42,0,1,1,0,,,,1,,
10134,1,87,3,2014,5,9,3,12,0,1,1,0,,,,2,1.0,
10135,1,97,3,2014,5,21,6,32,0,1,1,0,,,,1,,
10136,1,15,3,2014,6,10,13,12,0,1,1,0,,,,3,,
10137,1,117,3,2014,6,16,4,42,0,10,1,1,,,,1,1.0,
