ST_CASE,STATE,COUNTY,MONTH,YEAR,DAY_WEEK,HOUR,HARM_EV,WRK_ZONE,WEATHER,FATALS,DRUNK_DR,RESPONSE_TIME,HOSP_ARR_TIME,person_count,SPEEDREL,L_STATUS
10001,1,127,1,2015,5,2,35,0,1,1,1,,,1,,
10002,1,83,1,2015,5,22,34,0,10,1,0,,,1,1.0,
10003,1,11,1,2015,5,1,42,0,1,1,1,,,2,,
10004,1,45,1,2015,1,0,53,0,10,1,1,,,1,,
10005,1,45,1,2015,4,7,12,0,1,1,0,,,2,,
10006,1,111,1,2015,5,9,1,0,1,1,0,,,2,,
10007,1,89,1,2015,5,18,43,0,1,1,0,,,2,,
10008,1,73,1,2015,7,21,8,0,2,1,0,,,2,,1.0
10009,1,117,1,2015,3,8,23,0,10,1,0,,,1,,
10010,1,33,1,2015,2,18,12,0,1,1,0,,,2,,
10011,1,83,1,2015,4,20,12,0,1,1,0,,,2,,
10012,1,95,1,2015,6,6,12,0,1,1,0,,,6,,
10013,1,87,1,2015,7,10,1,0,1,1,1,,,1,1.0,
10014,1,11,1,2015,1,6,1,0,10,1,1,,,1,,
10015,1,127,1,2015,1,8,1,0,1,1,0,,,1,1.0,1.0
10016,1,81,1,2015,3,17,12,0,10,1,0,,,2,,
10017,1,97,1,2015,4,14,42,0,10,1,0,,,1,,
10018,1,1,1,2015,6,19,42,0,1,1,1,,,2,,1.0
10019,1,121,1,2015,2,1,1,0,1,1,0,,,1,1.0,
10020,1,121,1,2015,5,17,12,0,2,1,0,,,3,,
10021,1,115,1,2015,6,13,12,0,2,1,0,,,4,,
10022,1,127,1,2015,2,6,52,0,1,1,0,,,2,,
10023,1,11,1,2015,2,21,42,0,5,1,1,,,1,1.0,
10024,1,5,1,2015,6,6,42,0,1,1,0,,,1,,
10025,1,125,1,2015,5,3,18,0,1,2,1,,,2,1.0,1.0
10026,1,73,1,2015,3,13,33,0,10,1,0,,,1,1.0,1.0
10027,1,3,1,2015,7,14,12,0,1,1,0,,,3,,
10028,1,1,1,2015,7,0,1,0,1,1,1,,,1,,
10029,1,69,1,2015,6,5,59,0,2,1,0,,,1,1.0,
10030,1,21,1,2015,7,13,12,0,1,5,0,,,5,1.0,
10031,1,93,1,2015,7,16,8,0,1,1,0,,,2,,
10032,1,15,1,2015,1,6,34,0,1,1,1,,,1,1.0,
10033,1,123,1,2015,6,21,42,0,2,2,1,,,2,,1.0
10034,1,3,1,2015,5,14,12,0,10,1,1,,,10,,
10035,1,73,1,2015,4,9,12,0,1,1,0,,,2,,1.0
10036,1,97,1,2015,2,14,12,0,1,2,0,,,5,,1.0
10037,1,3,1,2015,2,14,42,0,1,1,0,,,1,,
10038,1,97,1,2015,3,16,38,0,1,1,0,,,1,,
10039,1,97,1,2015,5,0,34,0,1,1,1,,,1,,
10040,1,73,1,2015,3,15,8,1,1,1,0,,,2,,
10041,1,49,1,2015,4,21,18,0,1,1,1,,,1,,
10042,1,125,1,2015,7,18,8,0,1,1,0,,,3,,
10043,1,49,2,2015,2,3,19,0,10,1,0,,,1,,
10044,1,73,1,2015,7,3,52,0,1,1,0,,,2,,
10045,1,97,1,2015,7,8,59,0,1,1,0,8.0,11.0,1,,
10046,1,17,2,2015,1,2,42,0,1,1,0,,,1,,
10047,1,97,1,2015,5,0,19,0,1,1,1,,,2,1.0,
10048,1,3,1,2015,7,22,59,0,1,2,0,,,4,,
10049,1,73,1,2015,5,1,12,0,1,1,0,,,2,,1.0
10050,1,97,1,2015,7,4,8,0,1,1,0,15.0,,2,,
10051,1,109,2,2015,1,14,12,0,2,1,0,,,5,,
10052,1,83,2,2015,2,4,32,0,2,1,0,,,1,,
10053,1,37,2,2015,1,17,35,0,2,1,0,,,3,,
10054,1,91,2,2015,3,17,12,0,1,1,0,12.0,,2,,
10055,1,89,2,2015,4,2,8,0,1,1,0,,,2,,1.0
10056,1,3,2,2015,1,2,59,0,1,1,1,,,1,,
10057,1,49,2,2015,4,17,12,0,1,1,0,,,3,1.0,
10058,1,13,2,2015,1,14,1,0,1,1,0,3.0,7.0,3,,
10059,1,33,2,2015,3,22,8,0,1,1,0,9.0,33.0,2,,
10060,1,49,2,2015,3,17,12,0,10,1,0,29.0,,7,,
10061,1,93,2,2015,6,21,1,0,1,1,1,,,3,1.0,1.0
10062,1,89,2,2015,7,10,19,0,1,1,0,,,1,,
10063,1,45,2,2015,1,3,1,0,1,1,1,,,3,,1.0
10064,1,97,2,2015,4,0,8,0,1,1,0,,,2,,
10065,1,3,1,2015,7,10,12,0,1,1,0,,,2,1.0,
10066,1,101,2,2015,1,1,42,0,10,1,1,8.0,28.0,2,,
10067,1,81,2,2015,4,11,12,0,1,1,0,19.0,,8,,
10068,1,113,2,2015,1,18,1,0,1,1,0,,,1,1.0,1.0
10069,1,97,2,2015,1,21,8,0,1,1,1,4.0,,3,,
10070,1,121,2,2015,1,3,34,0,2,1,1,,,1,1.0,
10071,1,95,2,2015,6,22,12,0,3,1,0,,,4,1.0,
10072,1,73,2,2015,1,19,8,0,1,1,0,,,2,,
10073,1,73,2,2015,6,23,8,0,1,1,0,,,2,,
10074,1,73,2,2015,2,5,25,0,1,1,0,,,4,,2.0
10075,1,101,2,2015,3,18,12,0,1,1,1,,,4,,
10076,1,97,2,2015,6,10,18,1,1,1,0,24.0,,2,1.0,
10077,1,81,2,2015,2,18,8,0,10,1,0,,,2,,
10078,1,125,2,2015,3,15,1,0,10,1,0,,,1,,
10079,1,73,3,2015,7,4,21,0,1,1,1,23.0,19.0,2,,
10080,1,101,2,2015,3,15,35,0,1,1,1,,,1,1.0,
10081,1,33,2,2015,6,12,12,0,4,1,1,,,4,1.0,
10082,1,3,2,2015,3,21,1,0,1,1,0,5.0,60.0,1,,
10083,1,83,3,2015,1,3,12,0,1,4,2,,,4,1.0,1.0
10084,1,125,3,2015,1,10,12,0,1,1,1,,,3,1.0,
10085,1,121,3,2015,1,13,34,0,1,1,1,4.0,,1,,
10086,1,89,3,2015,1,17,12,0,2,1,1,,,4,,1.0
10087,1,95,3,2015,3,12,42,0,2,2,0,7.0,18.0,2,1.0,
10088,1,127,3,2015,3,19,8,0,2,1,0,,,2,,
10089,1,97,3,2015,3,18,42,0,1,1,1,,,1,,
10090,1,73,3,2015,5,18,8,0,10,1,0,,,3,,1.0
10091,1,97,3,2015,3,10,12,0,1,1,0,,,4,,
10092,1,81,3,2015,1,19,1,0,1,1,0,3.0,20.0,3,,
10093,1,73,3,2015,2,5,12,0,2,2,0,,53.0,3,1.0,
10094,1,53,3,2015,6,20,21,0,1,1,0,10.0,,1,,
10095,1,101,3,2015,2,8,12,0,5,3,0,7.0,,15,,
10096,1,47,3,2015,6,13,42,0,1,1,1,,,1,1.0,1.0
10097,1,115,2,2015,4,7,12,0,10,2,0,,,2,,
10098,1,69,2,2015,7,19,8,0,10,1,0,,,2,,1.0
10099,1,127,3,2015,4,11,32,0,10,1,0,,,1,,1.0
10101,1,59,3,2015,7,4,1,0,1,1,1,,,2,1.0,
10102,1,101,3,2015,7,3,25,0,2,1,1,10.0,14.0,1,1.0,1.0
10103,1,125,2,2015,7,1,53,0,1,1,1,,,2,1.0,1.0
10104,1,3,3,2015,5,15,12,0,10,2,0,,,3,,
10105,1,77,3,2015,6,99,42,0,1,1,1,12.0,7.0,2,,1.0
10106,1,23,3,2015,2,23,42,0,2,1,1,,,1,1.0,
10107,1,73,3,2015,6,0,12,0,2,1,1,,,2,,1.0
10108,1,15,3,2015,6,19,12,0,2,1,0,,,3,,
10109,1,17,3,2015,7,10,12,0,5,1,0,,,3,,1.0
10110,1,37,3,2015,7,16,42,0,10,1,0,,,1,,
10111,1,125,3,2015,2,22,35,0,1,1,1,,,2,1.0,
