Number;Name;Code;2010;2011;2012;2013;2014;2015;2016;2017;2018
1;Alabama;AL;4785437;4799069;4815588;4830081;4841799;4852347;4863525;4874486;4887681
2;Alaska;AK;713910;722128;730443;737068;736283;737498;741456;739700;735139
4;Arizona;AZ;6407172;6472643;6554978;6632764;6730413;6829676;6941072;7044008;7158024
5;Arkansas;AR;2921964;2940667;2952164;2959400;2967392;2978048;2989918;3001345;3009733
6;California;CA;37319502;37638369;37948800;38260787;38596972;38918045;39167117;39358497;39461588
8;Colorado;CO;5047349;5121108;5192647;5269035;5350101;5450623;5539215;5611885;5691287
9;Connecticut;CT;3579114;3588283;3594547;3594841;3594524;3587122;3578141;3573297;3571520
10;Delaware;DE;899593;907381;915179;923576;932487;941252;948921;956823;965479
11;District of Columbia;DC;605226;619800;634924;650581;662328;675400;685815;694906;701547
12;Florida;FL;18845537;19053237;19297822;19545621;19845911;20209042;20613477;20963613;21244317
13;Georgia;GA;9711881;9802431;9901430;9972479;10067278;10178447;10301890;10410330;10511131
15;Hawaii;HI;1363963;1379329;1394804;1408243;1414538;1422052;1427559;1424393;1420593
16;Idaho;ID;1570746;1583910;1595324;1611206;1631112;1651059;1682380;1717715;1750536
17;Illinois;IL;12840503;12867454;12882510;12895129;12884493;12858913;12820527;12778828;12723071
18;Indiana;IN;6490432;6516528;6537703;6568713;6593644;6608422;6634304;6658078;6695497
19;Iowa;IA;3050745;3066336;3076190;3092997;3109350;3120960;3131371;3141550;3148618
20;Kansas;KS;2858190;2869225;2885257;2893212;2900475;2909011;2910844;2908718;2911359
21;Kentucky;KY;4348181;4369821;4386346;4404659;4414349;4425976;4438182;4452268;4461153
22;Louisiana;LA;4544532;4575625;4600972;4624527;4644013;4664628;4678135;4670560;4659690
23;Maine;ME;1327629;1328284;1327729;1328009;1330513;1328262;1331317;1334612;1339057
24;Maryland;MD;5788645;5839419;5886992;5923188;5957283;5985562;6003323;6023868;6035802
25;Massachusetts;MA;6566307;6613583;6663005;6713315;6762596;6794228;6823608;6859789;6882635
26;Michigan;MI;9877510;9882412;9897145;9913065;9929848;9931715;9950571;9973114;9984072
27;Minnesota;MN;5310828;5346143;5376643;5413479;5451079;5482032;5522744;5566230;5606249
28;Mississippi;MS;2970548;2978731;2983816;2988711;2990468;2988471;2987938;2988510;2981020
29;Missouri;MO;5995974;6010275;6024367;6040715;6056202;6071732;6087135;6106670;6121623
30;Montana;MT;990697;997316;1003783;1013569;1021869;1030475;1040859;1052482;1060665
31;Nebraska;NE;1829542;1840672;1853303;1865279;1879321;1891277;1905616;1915947;1925614
32;Nevada;NV;2702405;2712730;2743996;2775970;2817628;2866939;2917563;2969905;3027341
33;New Hampshire;NH;1316762;1320202;1324232;1326622;1333341;1336350;1342307;1348787;1353465
34;New Jersey;NJ;8799446;8828117;8844942;8856972;8864525;8867949;8870827;8885525;8886025
35;New Mexico;NM;2064552;2080450;2087309;2092273;2089568;2089291;2091630;2091784;2092741
36;New York;NY;19399878;19499241;19572932;19624447;19651049;19654666;19633428;19589572;19530351
37;North Carolina;NC;9574323;9657592;9749476;9843336;9932887;10031646;10154788;10268233;10381615
38;North Dakota;ND;674715;685225;701176;722036;737401;754066;754434;754942;758080
39;Ohio;OH;11539336;11544663;11548923;11576684;11602700;11617527;11634370;11659650;11676341
40;Oklahoma;OK;3759944;3788379;3818814;3853214;3878187;3909500;3926331;3931316;3940235
41;Oregon;OR;3837491;3872036;3899001;3922468;3963244;4015792;4089976;4143625;4181886
42;Pennsylvania;PA;12711160;12745815;12767118;12776309;12788313;12784826;12782275;12787641;12800922
44;Rhode Island;RI;1053959;1053649;1054621;1055081;1055936;1056065;1056770;1055673;1058287
45;South Carolina;SC;4635649;4671994;4717354;4764080;4823617;4891938;4957968;5021268;5084156
46;South Dakota;SD;816166;823579;833566;842316;849129;853988;862996;872868;878698
47;Tennessee;TN;6355311;6399291;6453898;6494340;6541223;6591170;6646010;6708799;6771631
48;Texas;TX;25241971;25645629;26084481;26480266;26964333;27470056;27914410;28295273;28628666
49;Utah;UT;2775332;2814384;2853375;2897640;2936879;2981835;3041868;3101042;3153550
50;Vermont;VT;625879;627049;626090;626210;625214;625216;623657;624344;624358
51;Virginia;VA;8023699;8101155;8185080;8252427;8310993;8361808;8410106;8463587;8501286
53;Washington;WA;6742830;6826627;6897058;6963985;7054655;7163657;7294771;7423362;7523869
54;West Virginia;WV;1854239;1856301;1856872;1853914;1849489;1842050;1831023;1817004;1804291
55;Wisconsin;WI;5690475;5705288;5719960;5736754;5751525;5760940;5772628;5790186;5807406
56;Wyoming;WY;564487;567299;576305;582122;582531;585613;584215;578931;577601
